1582078295 PING 192.168.14.109 (192.168.14.109) 56(84) bytes of data.
1582078295 64 bytes from 192.168.14.109: icmp_seq=1 ttl=64 0.138 ms
1582078296 64 bytes from 192.168.14.109: icmp_seq=2 ttl=64 0.116 ms
1582078297 64 bytes from 192.168.14.109: icmp_seq=3 ttl=64 0.116 ms
1582078298 64 bytes from 192.168.14.109: icmp_seq=4 ttl=64 0.111 ms
1582078299 64 bytes from 192.168.14.109: icmp_seq=5 ttl=64 0.110 ms
1582078300 64 bytes from 192.168.14.109: icmp_seq=6 ttl=64 0.111 ms
1582078301 64 bytes from 192.168.14.109: icmp_seq=7 ttl=64 0.122 ms
1582078302 64 bytes from 192.168.14.109: icmp_seq=8 ttl=64 0.108 ms
1582078303 64 bytes from 192.168.14.109: icmp_seq=9 ttl=64 0.107 ms
1582078304 64 bytes from 192.168.14.109: icmp_seq=10 ttl=64 0.117 ms
1582078305 64 bytes from 192.168.14.109: icmp_seq=11 ttl=64 0.142 ms
1582078306 64 bytes from 192.168.14.109: icmp_seq=12 ttl=64 0.109 ms
1582078307 64 bytes from 192.168.14.109: icmp_seq=13 ttl=64 0.108 ms
1582078308 64 bytes from 192.168.14.109: icmp_seq=14 ttl=64 0.106 ms
1582078310 64 bytes from 192.168.14.109: icmp_seq=15 ttl=64 0.096 ms
1582078311 64 bytes from 192.168.14.109: icmp_seq=16 ttl=64 0.108 ms
1582078312 64 bytes from 192.168.14.109: icmp_seq=17 ttl=64 0.100 ms
1582078313 64 bytes from 192.168.14.109: icmp_seq=18 ttl=64 0.100 ms
1582078314 64 bytes from 192.168.14.109: icmp_seq=19 ttl=64 0.107 ms
1582078315 64 bytes from 192.168.14.109: icmp_seq=20 ttl=64 0.103 ms
1582078316 64 bytes from 192.168.14.109: icmp_seq=21 ttl=64 0.109 ms
1582078317 64 bytes from 192.168.14.109: icmp_seq=22 ttl=64 0.102 ms
1582078318 64 bytes from 192.168.14.109: icmp_seq=23 ttl=64 0.101 ms
1582078319 64 bytes from 192.168.14.109: icmp_seq=24 ttl=64 0.098 ms
1582078320 64 bytes from 192.168.14.109: icmp_seq=25 ttl=64 0.102 ms
1582078321 64 bytes from 192.168.14.109: icmp_seq=26 ttl=64 0.113 ms
1582078322 64 bytes from 192.168.14.109: icmp_seq=27 ttl=64 0.098 ms
1582078323 64 bytes from 192.168.14.109: icmp_seq=28 ttl=64 0.096 ms
1582078324 64 bytes from 192.168.14.109: icmp_seq=29 ttl=64 0.102 ms
1582078325 64 bytes from 192.168.14.109: icmp_seq=30 ttl=64 0.114 ms
1582078326 64 bytes from 192.168.14.109: icmp_seq=31 ttl=64 0.113 ms
1582078327 64 bytes from 192.168.14.109: icmp_seq=32 ttl=64 0.118 ms
1582078328 64 bytes from 192.168.14.109: icmp_seq=33 ttl=64 0.113 ms
1582078329 64 bytes from 192.168.14.109: icmp_seq=34 ttl=64 0.106 ms
1582078330 64 bytes from 192.168.14.109: icmp_seq=35 ttl=64 0.123 ms
1582078331 64 bytes from 192.168.14.109: icmp_seq=36 ttl=64 0.110 ms
1582078332 64 bytes from 192.168.14.109: icmp_seq=37 ttl=64 0.125 ms
1582078333 64 bytes from 192.168.14.109: icmp_seq=38 ttl=64 0.128 ms
1582078334 64 bytes from 192.168.14.109: icmp_seq=39 ttl=64 0.118 ms
1582078335 64 bytes from 192.168.14.109: icmp_seq=40 ttl=64 0.114 ms
1582078336 64 bytes from 192.168.14.109: icmp_seq=41 ttl=64 0.123 ms
1582078337 64 bytes from 192.168.14.109: icmp_seq=42 ttl=64 0.107 ms
1582078338 64 bytes from 192.168.14.109: icmp_seq=43 ttl=64 0.109 ms
1582078339 64 bytes from 192.168.14.109: icmp_seq=44 ttl=64 0.119 ms
1582078340 64 bytes from 192.168.14.109: icmp_seq=45 ttl=64 0.114 ms
1582078341 64 bytes from 192.168.14.109: icmp_seq=46 ttl=64 0.115 ms
1582078342 64 bytes from 192.168.14.109: icmp_seq=47 ttl=64 0.123 ms
1582078343 64 bytes from 192.168.14.109: icmp_seq=48 ttl=64 0.111 ms
1582078344 64 bytes from 192.168.14.109: icmp_seq=49 ttl=64 0.117 ms
1582078345 64 bytes from 192.168.14.109: icmp_seq=50 ttl=64 0.127 ms
1582078346 64 bytes from 192.168.14.109: icmp_seq=51 ttl=64 0.110 ms
1582078347 64 bytes from 192.168.14.109: icmp_seq=52 ttl=64 0.111 ms
1582078348 64 bytes from 192.168.14.109: icmp_seq=53 ttl=64 0.116 ms
